author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
justinbieber,My I love you face https://t.co/FjDaOjinwE,,16/01/2017 20:00,8.21085E+17,en,,,282747,119847
justinbieber,Watched never say never on Netflix. Great movie,,08/01/2017 06:28,8.17981E+17,en,,,397426,148176
justinbieber,Tour access https://t.co/12mNDNJeYS,,07/01/2017 07:38,8.17636E+17,en,,,83681,32375
justinbieber,Life is good,,06/01/2017 20:28,8.17468E+17,en,,,256578,149563
justinbieber,RT to Send my boy Chris Paul @CP3  to the NBA All-Star Game #NBAVote #retweettovote,,06/01/2017 20:27,8.17468E+17,en,,,79430,156074
justinbieber,My sister has a YouTube channel. Proud of you Jazzy. https://t.co/Q8HEULYLUk,,06/01/2017 00:34,8.17168E+17,en,,,125534,51799
justinbieber,Today. https://t.co/VIVmpJ4I4X,,31/12/2016 19:36,8.1528E+17,en,,,99133,40389
justinbieber,you just got knocked the fuck out,,31/12/2016 06:23,8.15081E+17,en,,,277911,120686
justinbieber,Great book #howsyoursoul by my friend @judahsmith https://t.co/OXkSFgzyAk,,28/12/2016 19:53,8.14198E+17,en,,,73808,30181
justinbieber,Thank you https://t.co/o8h1AUSifO,,27/12/2016 00:34,8.13544E+17,en,,,120138,55612
justinbieber,"Miami. See you at @Fontainebleau​ for #NYE2017 
https://t.co/lSBp5aVirr https://t.co/fyNHjapdkC",,26/12/2016 20:27,8.13481E+17,en,,,105212,47539
justinbieber,"Merry Christmas everyone :)
https://t.co/KjiOD3EBZJ",,25/12/2016 15:58,8.13051E+17,en,,,148535,71136
justinbieber,https://t.co/4UNgQ3vt0E,,24/12/2016 15:55,8.12688E+17,und,,,125908,64957
justinbieber,"New holiday #Justmojis
https://t.co/d3N0mzAcWC https://t.co/vWjSo0Jf1P",,24/12/2016 15:55,8.12688E+17,en,,,99701,42519
justinbieber,This is one of the funniest videos I have ever seen. Haha https://t.co/MnwI579UZE 😂,,21/12/2016 01:03,8.11377E+17,en,,,102245,49807
justinbieber,More 2017 #PurposeTour stadiums on sale now https://t.co/ZW5b2loGdQ https://t.co/djweYMuizS,,17/12/2016 19:58,8.10213E+17,en,,,132548,56366
justinbieber,Dublin @TheRDS on sale too #PurposeTour https://t.co/GR0hWyGzwY,,16/12/2016 15:40,8.09785E+17,en,,,68971,30206
justinbieber,UK. Bringing #PurposeTour next summer to Cardiff and London https://t.co/vBknuqb076 https://t.co/FnqmtoZ5hK,,16/12/2016 15:38,8.09785E+17,en,,,72758,31912
justinbieber,Thank you https://t.co/b1VJ3Tldy0,,13/12/2016 03:28,8.08514E+17,en,,,127234,58697
justinbieber,That time of the year. Mistletoe is currently the most streamed UMG song on Spotify. Thanks https://t.co/pJolWSeUmT,,09/12/2016 19:14,8.07302E+17,en,,,117573,59604
justinbieber,North America 2017 #PurposeTour stadiums on sale now. See u soon https://t.co/JdlUdme7r3 https://t.co/yIM2KdtQJz,,09/12/2016 18:06,8.07285E+17,en,,,97142,42352
justinbieber,Good times boys https://t.co/qMz9BPpUpB,,08/12/2016 18:51,8.06934E+17,en,,,70110,32067
justinbieber,2nd show added in Toronto. Pre-sale code 'LOVEYOU' for #PurposeTour stadiums. On sale tomorrow https://t.co/xqTwvUPl1G,,08/12/2016 18:47,8.06933E+17,en,,,54259,24878
justinbieber,Congrats buddy. Let's keep changing lives :) https://t.co/VZeZWJsovz,,08/12/2016 18:38,8.06931E+17,en,,,67938,29701
justinbieber,Thank you,,07/12/2016 07:34,8.06402E+17,en,,,156906,75620
justinbieber,#AmexPresale for #PurposeTour stadiums up now thru 12/8 for @AmericanExpress Card Members https://t.co/XAS9DG0m58,,06/12/2016 18:01,8.06197E+17,en,,,76588,34909
justinbieber,"#PurposeTour stadiums. Let's go!! Tix on sale Friday 
https://t.co/0ee1u1jNsT https://t.co/FPKXf8J2ae",,05/12/2016 17:53,8.05833E+17,en,,,84366,42142
justinbieber,Make sure to watch for major tour announcement :) https://t.co/DCWfOMcPQx,,05/12/2016 00:45,8.05574E+17,en,,,105213,48181
justinbieber,Tomorrow @TheEllenShow :) https://t.co/Wc38RHSq2Z,,04/12/2016 23:00,8.05547E+17,en,,,126496,56909
