author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
justinbieber,#10yearsofkidrauhl where it all began. Thanks https://t.co/iXMOt2sT3E,,15/01/2017 20:36,8.20732E+17,en,,,131905,83105
justinbieber,Love seeing my little guy raising money for the kids. Congrats Cruz. Nice one https://t.co/bnqJRFaqy0,,08/12/2016 18:47,8.06933E+17,en,,,76904,32748
justinbieber,Great day https://t.co/7ePUiVugUC,,22/11/2016 07:57,8.00972E+17,en,,,109871,53543
justinbieber,Thank you for tonight Germany. #PurposeTour,,15/11/2016 00:03,7.98315E+17,en,,,112645,45341
justinbieber,#PurposeTour Prague tonight,,12/11/2016 14:54,7.97452E+17,en,,,105447,43201
justinbieber,Congrats on the award bro. Making a change https://t.co/bIcP61lHzH,,12/11/2016 14:52,7.97452E+17,en,,,82455,37003
justinbieber,Another one. #PurposeTourManchester,,20/10/2016 17:53,7.89163E+17,en,,,102630,45411
justinbieber,All new #PurposeTour swag https://t.co/nJeRpayO1M https://t.co/q60ACJ03d2,,12/10/2016 22:06,7.86327E+17,en,,,80090,38779
justinbieber,Australia and New Zealand. Bringing #PurposeWorldTour and my bro @MartinGarrix in March https://t.co/lDlXpd9Cyk https://t.co/AKgkj5ervE,,03/10/2016 14:01,7.82944E+17,en,,,84116,37439
justinbieber,Sweden 🇸🇪 #PurposeTour,,30/09/2016 05:55,7.81734E+17,tl,,,71384,32572
justinbieber,My dad is using https://t.co/ovRcmcIh4f to protect my brother and sister on the internet. Check it out and protect your family :),,29/09/2016 15:37,7.81518E+17,en,,,69857,29824
justinbieber,Get big bro @usher's album. Tell me is 🔥🔥🔥 https://t.co/pKH83naVxc,,16/09/2016 20:59,7.76888E+17,en,,,68983,29096
justinbieber,Just want to make people smile. And teach them the perfect squat,,01/09/2016 09:24,7.71278E+17,en,,,141664,74065
justinbieber,See you this weekend @vfestival,,17/08/2016 02:40,7.6574E+17,en,,,129912,52696
justinbieber,Thank you  https://t.co/Qr15BId43b,,17/08/2016 02:39,7.6574E+17,en,,,92361,37783
justinbieber,https://t.co/B6g4eFTpRH,,10/08/2016 16:01,7.63405E+17,und,,,247833,100473
justinbieber,Gucci! #ColdWater https://t.co/9INWhGKcRW,,22/07/2016 19:40,7.56575E+17,it,,,63909,33634
justinbieber,Dope fan art. #ColdWater https://t.co/TYMgvltRlf,,22/07/2016 19:39,7.56574E+17,en,,,96880,52051
justinbieber,#ColdWater3HOURS https://t.co/GT5a1ZEIT0,,22/07/2016 01:01,7.56293E+17,und,,,94943,54391
justinbieber,New single tonight. #coldwater https://t.co/ElHFNO0Vw1,,21/07/2016 14:57,7.56141E+17,en,,,121540,72922
justinbieber,#countdown #coldwater #2weeks  @MAJORLAZER and me,,08/07/2016 16:34,7.51454E+17,en,,,80780,44368
justinbieber,Europe #mycalvins. @calvinklein is giving away #PurposeTour Berlin + London tix https://t.co/OhgcftOw1I https://t.co/psaLN4TTlF,,29/06/2016 18:13,7.48218E+17,en,,,95758,51720
justinbieber,Miami #PurposeTourAlchemist https://t.co/Jc2h6yY4iM,,28/06/2016 17:46,7.47849E+17,it,,,69218,35285
justinbieber,@DJTayJames got a new tape. Get it.,,17/06/2016 20:52,7.43909E+17,en,,,41303,23626
justinbieber,Fashion week Italy https://t.co/ET23uriIZs,,16/06/2016 18:36,7.43513E+17,en,,,65753,34374
justinbieber,Glad I met you https://t.co/k6jyMoAxUZ,,14/06/2016 16:44,7.4276E+17,en,,,81548,39485
justinbieber,Congrats big bro. I see no limit too https://t.co/t3GSvVpFoi,,10/06/2016 05:33,7.41141E+17,en,,,66173,32172
