author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
katyperry,sisters. https://t.co/5ZE21x2aNk,,27/12/2016 04:04,8.13596E+17,en,,,9324,2637
katyperry,I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,,07/12/2016 02:35,8.06326E+17,en,,,6745,1868
katyperry,Fully https://t.co/Iii4a58tPN,,06/12/2016 09:52,8.06074E+17,en,,,4473,1226
katyperry,"Heading into my family 🦃-Day, I'm mindful about building a bridge thru peaceful convo. Try this guide from @nytimes: https://t.co/mzBbNw1ZHD",,23/11/2016 22:16,8.0155E+17,en,,,7340,2025
katyperry,Caught a big one this week 🎣 ...,,19/11/2016 08:23,7.99891E+17,en,,,13734,4721
katyperry,Confused? Overwhelmed? Here's the brief you need to get the gist: https://t.co/4dwGgeRwMT,,14/11/2016 17:34,7.98218E+17,en,,,9516,2613
katyperry,WE WILL NEVER BE SILENCED. #LOVETRUMPSHATE,,09/11/2016 08:13,7.96264E+17,en,,,44808,22630
katyperry,WE WILL NEVER BE SILENCED.  https://t.co/Co4CYBXg8j,,09/11/2016 05:43,7.96227E+17,en,,,39792,20914
katyperry,If hell had a smell it would be used dental floss and earring backs. 😷,,08/11/2016 04:00,7.95838E+17,en,,,14043,3524
katyperry,My name is 🐶 Nugget 🐶 and I approve this message. GO ✔OTE❗Find out where: https://t.co/rL2nZQ97cd https://t.co/qgoUYddQaC,,07/11/2016 17:38,7.95682E+17,en,,,20789,6894
katyperry,@KatyCute_ this edit lol,,23/10/2016 06:54,7.90084E+17,en,,,2261,554
katyperry,@DanielaR1205 vitamins,,23/10/2016 06:28,7.90077E+17,pt,,,1938,503
katyperry,Using our voices ❤️🙌🏼 https://t.co/FvX6dfl7lJ,,23/10/2016 01:32,7.90003E+17,en,,,12775,4377
katyperry,@wtvrlara omg let me live I'm out preaching the good news bb,,23/10/2016 01:22,7.9E+17,en,,,1773,557
katyperry,He doth protest much... https://t.co/pIbxvqtl0E,,20/10/2016 01:35,7.88917E+17,en,,,4043,984
katyperry,Throwing rose petals at the club. 🌹,,14/10/2016 07:59,7.86839E+17,en,,,13398,3874
katyperry,Investing in girls helps them build better lives and creates a more peaceful and prosperous world for ALL. RT if yo… https://t.co/mweKT8UJeK,,11/10/2016 17:05,7.85889E+17,en,,,21402,9178
katyperry,There's a few brains I would like to see science dissect after full utilization and @Sia's should be one of them. ILYSM ❤️,,10/10/2016 04:29,7.85336E+17,en,,,17183,5335
katyperry,YES THIS ⤵️ https://t.co/2VTRjE18I9,,10/10/2016 02:39,7.85309E+17,en,,,4255,985
katyperry,MY HEART GOES ON,,10/10/2016 02:34,7.85307E+17,en,,,6459,2170
katyperry,I notice these are not built in mics tonight...PLEASE DROP THE MIC TONIGHT HILL! 🎤⤵️ @HillaryClinton #DROPTHEMICHRC #debates,,10/10/2016 02:02,7.85299E+17,en,,,6745,1787
katyperry,RT IF YOU ARE YELLING AT THE TV RIGHT NOW. #debates,,10/10/2016 01:45,7.85295E+17,en,,,14952,9551
katyperry,"In a world driven by fear @DollyParton makes me feel safe, pure and simple. ❤️",,02/10/2016 08:04,7.82491E+17,en,,,15903,3523
katyperry,"Today, on #VoterRegistrationDay, I, @funnyordie and @rockthevote invite you to... #IRegistered https://t.co/6kscHoRa0k",,27/09/2016 12:03,7.8074E+17,en,,,33155,13915
katyperry,". @sallykohn sorry, meditation. I can't even spell anymore #debates",,27/09/2016 02:16,7.80592E+17,en,,,4414,973
katyperry,It's a #Debates drinking game for sure 🍷🍸🍺🍾 https://t.co/0hjPbm6Yuu,,27/09/2016 02:04,7.80589E+17,en,,,5403,1367
katyperry,. @akaruikaty cause you can't have fun if you don't feel safe bb 💁🏻,,25/09/2016 06:44,7.79935E+17,en,,,6244,1317
katyperry,"I agree w/all besides part about the intentions of both candidates. Well spoken KKW, we must feel safe to ask❓'s 👏🏼! https://t.co/Td5XEoHgpL",,25/09/2016 04:31,7.79901E+17,en,,,12636,2955
katyperry,"AYE, ERRYONE! LISTEN TO THIS CHUNE! (gonna sprain a hip at some point this weekend👣💃🏻👣) https://t.co/IpwrqGTYqZ",,23/09/2016 23:42,7.79466E+17,en,,,8826,2395
katyperry,@ChrisAnokute @zaralarsson been watching it from fetus 👀❤️,,21/09/2016 22:16,7.7872E+17,en,,,3647,1394
katyperry,@HoliestKaty iconic,,18/09/2016 07:39,7.77412E+17,en,,,2760,906
